number,name,former_name,kind,jurisdiction,status
200614,R I D MANAGEMENT,,Business Name,Yukon,Expired
200615,ARMSTRONGS APPLIANCE SERVICES,,Business Name,Yukon,Expired
200616,KARMAN CONST,,Business Name,Yukon,Expired
200619,BLACKSTONE ENTERPRISES,,Business Name,Yukon,Expired
200621,NORBY CONSTRUCTION,,Business Name,Yukon,Expired
200623,DALE'S CONSTRUCTION,,Business Name,Yukon,Expired
200624,B & M ELECTRONICS,,Business Name,Yukon,Expired
200627,DAWN JANITORIAL,,Business Name,Yukon,Expired
200629,SAM'S CONTRACTING,,Business Name,Yukon,Expired
200630,DUN-RITE MAINTENANCE,,Business Name,Yukon,Expired
200631,"GULF CANADA PRODUCTS COMPANY, A DIVISION OF GULF C",,Business Name,Yukon,Ceased/Dissolved
200632,LUCKY 13 MINES,,Business Name,Yukon,Expired
200633,TRUE NORTH PRODUCTS,,Business Name,Yukon,Ceased/Dissolved
200635,LOGAN ENTERPRISES,,Business Name,Yukon,Expired
200637,T K ENTERPRISES,,Business Name,Yukon,Expired
200638,DONE-RIGHT PAINTING CONTRACTORS,,Business Name,Yukon,Ceased/Dissolved
200639,CEDAR HOLDINGS,,Business Name,Yukon,Expired
200640,BOUVIER TRUCKING,,Business Name,Yukon,Expired
200641,COLES CONTRACTING & SALES,,Business Name,Yukon,Ceased/Dissolved
200642,REDI ENTERPRISES,,Business Name,Yukon,Ceased/Dissolved
200643,STARLIGHT GOLD MINE,,Business Name,Yukon,Expired
200646,B L BUILDING,,Business Name,Yukon,Expired
200648,DAN BOYD CONSTRUCTION,,Business Name,Yukon,Expired
200649,DOUBLE G LOGGING & FIREWOOD,,Business Name,Yukon,Ceased/Dissolved
200650,KLONDIKE PICTURE EMPORIUM,,Business Name,Yukon,Expired
200651,BOW MAC TRUCK RENTALS,,Business Name,Yukon,Ceased/Dissolved
200652,PORTER CREEK PLACE,,Business Name,Yukon,Expired
200654,HARRY'S AUTOMATION & SWITCHGEAR SERVICE,,Business Name,Yukon,Expired
200655,GOLD NUGGET OVERLOAD,,Business Name,Yukon,Expired
200658,RAY LARK MECHANICAL SERVICES,,Business Name,Yukon,Expired
200659,BARRY'S HOMES,,Business Name,Yukon,Expired
200661,YUKON CURLING SUPPLIES,,Business Name,Yukon,Expired
200662,WILDERNESS YUKON-PHOTOGRAPHY TOURS,,Business Name,Yukon,Expired
200663,CARL RAUBER OA MAC MILLAN SERVICES,,Business Name,Yukon,Expired
200664,EARTH AND SKY CREATIONS,,Business Name,Yukon,Expired
200666,MOOSE CREEK LODGE,,Business Name,Yukon,Ceased/Dissolved
200667,KLONDIKE KOLOR,,Business Name,Yukon,Expired
200671,NORTHLAND RENTAL A DIVISION OF DAVID MCILMOYLE LTD,,Business Name,Yukon,Ceased/Dissolved
200673,BOB'S ENTERPRISE,,Business Name,Yukon,Expired
200674,SUN DOG ENTERPRISES,,Business Name,Yukon,Expired
200676,M L S BOOTH ENTERPRISES,,Business Name,Yukon,Expired
200677,D & H FOODS,,Business Name,Yukon,Expired
200679,BUDGET RENT A CAR YUKON AUTO RENTALS 1979 LTD,,Business Name,Yukon,Expired
200681,EDGEWATER HOTEL FLIGHT KITCHEN,,Business Name,Yukon,Ceased/Dissolved
200682,"CELLAR , THE",,Business Name,Yukon,Ceased/Dissolved
200683,TELECHECK CANADA,,Business Name,Yukon,Ceased/Dissolved
200684,TELECHEQUE CANADA,,Business Name,Yukon,Ceased/Dissolved
200685,TELECHECK,,Business Name,Yukon,Expired
200690,ROCK CREEK ENTERPRISES,,Business Name,Yukon,Ceased/Dissolved
200691,AVIS-RENT-A-CAR,,Business Name,Yukon,Ceased/Dissolved
200692,B E M LOGGING,,Business Name,Yukon,Expired
200694,DIANNA'S DEVELOPMENT COMPANY,,Business Name,Yukon,Expired
200695,NORTHERN WILDERNESS TRAVEL SERVICES 98,,Business Name,Yukon,Expired
200697,ONYX OPERATIONS,,Business Name,Yukon,Expired
200698,PACIFIC & ARCTIC MOTORS (1979),,Business Name,Yukon,Ceased/Dissolved
200699,MCDOWELL ENTERPRISES,,Business Name,Yukon,Expired
200700,S D TRUCKING,,Business Name,Yukon,Expired
200701,CAPITAL TOWING SERVICES,,Business Name,Yukon,Ceased/Dissolved
200702,CAMPBELL NORTH COMPANY,,Business Name,Yukon,Expired
200706,PREFERRED HOLDINGS,,Business Name,Yukon,Expired
200709,FRANK BERKNER SERVICES,,Business Name,Yukon,Expired
200710,A-Z PAINTING,,Business Name,Yukon,Expired
200711,KAMAL ENTERPRISES,,Business Name,Yukon,Expired
200712,PADDLE & PORTAGE GUIDED WILDERNESS CANOE TRIPS,,Business Name,Yukon,Expired
200713,ELECTROTECH INDUSTRIES,,Business Name,Yukon,Expired
200715,DELCAN (DE LEUW CATHER CANADA LTD),,Business Name,Yukon,Ceased/Dissolved
200718,G G LOGGING & FIREWOOD,,Business Name,Yukon,Expired
200719,JAN WELDING,,Business Name,Yukon,Expired
200720,JIM'S MECHANICAL SERVICES,,Business Name,Yukon,Expired
200721,NORTHWIND ENTERPRISES,,Business Name,Yukon,Expired
200722,PISON PLACER,,Business Name,Yukon,Expired
200723,P J'S MOBILE WELDING & MARINE SERVICES,,Business Name,Yukon,Ceased/Dissolved
200724,VAN HAVER EXPEDITE,,Business Name,Yukon,Expired
200726,REALTY 6000,,Business Name,Yukon,Ceased/Dissolved
200729,TATCHUN CENTRE,,Business Name,Yukon,Expired
200730,WESTERN PHOTOGRAMMETRY,,Business Name,Yukon,Expired
200731,FOUR SEASONS CONTRACTING,,Business Name,Yukon,Ceased/Dissolved
200733,YUKON WILDERNESS UNLIMITED GENTLE ADVENTURES,,Business Name,Yukon,Expired
200734,MARTEL CONTRACTING & EXPLORATION,,Business Name,Yukon,Expired
200735,HENRY HENKEL CONSTRUCTION,,Business Name,Yukon,Expired
200736,ARCTIC EXPEDITING,,Business Name,Yukon,Expired
200737,NORTHERN DENTURE CLINIC,,Business Name,Yukon,Expired
200738,DONS BACKHOE SERVICE,,Business Name,Yukon,Expired
200739,WHITEHORSE WINDOW CLEANING SERVICES,,Business Name,Yukon,Expired
200743,WOLLEX EXPLORATIONS,,Business Name,Yukon,Expired
200744,H J CONTRACTING,,Business Name,Yukon,Expired
200745,TUTCHITUA ENTERPRISES,,Business Name,Yukon,Expired
200746,MCFARLANE'S TRADING CO,,Business Name,Yukon,Ceased/Dissolved
200747,KOIDERN GULF SERVICES,,Business Name,Yukon,Ceased/Dissolved
200751,WEB ENTERPRISES,,Business Name,Yukon,Expired
200753,"TRAPPERS CABIN, THE",,Business Name,Yukon,Ceased/Dissolved
200754,LAKEVIEW RESORT AND MARINA,,Business Name,Yukon,Ceased/Dissolved
200755,HORSESHOE SILVER MINES,,Business Name,Yukon,Expired
200758,ESSO,,Business Name,Yukon,Expired
200762,MEDEA ARTS,,Business Name,Yukon,Expired
200764,TIMBERLINE CONTRACTING,,Business Name,Yukon,Expired
200767,S J WOOD WORKS,,Business Name,Yukon,Expired
200780,IMPERIAL DATA HOUSE,,Business Name,Yukon,Expired
200781,BONANZA MINING CO,,Business Name,Yukon,Expired
200782,GATEWAY MOTOR INN,,Business Name,Yukon,Ceased/Dissolved
200784,SUZANNE'S CAFE,,Business Name,Yukon,Expired
200785,TIMBER LINE TRUCKING,,Business Name,Yukon,Expired
200787,RUSS' PILOT CAR SERVICE,,Business Name,Yukon,Ceased/Dissolved
200789,LIVING SPACE,,Business Name,Yukon,Expired
200791,JIM'S CARPENTRY SERVICE,,Business Name,Yukon,Expired
200792,CHIPPERFIELD ENTERPRISES,,Business Name,Yukon,Expired
200794,BOREAL CRAFTS,,Business Name,Yukon,Expired
200797,K & M ENTERPRISES,,Business Name,Yukon,Expired
200798,HERTZ,,Business Name,Yukon,Expired
200799,MACDONALDS CONTRACTING,,Business Name,Yukon,Ceased/Dissolved
200801,FARRELL'S FAUCETS,,Business Name,Yukon,Expired
200802,GEORGE'S CONTRACTING,,Business Name,Yukon,Expired
200804,BEAUMARK APPLIANCES AND BEAUMARK SERVICE,,Business Name,Yukon,Ceased/Dissolved
200808,BROCKLESBY TRANSPORT,,Business Name,Yukon,Ceased/Dissolved
200809,SCHMIDT CONSTRUCTION,,Business Name,Yukon,Expired
200812,ARCTIC BACKHOE SERVICE,,Business Name,Yukon,Expired
200813,JIM'S GOLD,,Business Name,Yukon,Expired
200815,ALCARE DIVISION OF SUMNER HOLDINGS LIMITED,,Business Name,Yukon,Ceased/Dissolved
200816,"INLAND SPORTS DISTRIBUTORS, DIVISION OF SUMNER HOL",,Business Name,Yukon,Ceased/Dissolved
200817,INLANDALCARE DIVISION OF SUMNER HOLDINGS LIMIT,,Business Name,Yukon,Ceased/Dissolved
200818,INLAND DISTRIBUTORS DIVISION OF SUMNER HOLDINGS L,,Business Name,Yukon,Ceased/Dissolved
200819,INLAND SPORTS DIVISION OF SUMNER HOLDINGS LIMITED,,Business Name,Yukon,Ceased/Dissolved
200820,ALBERTA CARETAKERS SUPPLIES DIVISION OF SUMNER HO,,Business Name,Yukon,Ceased/Dissolved
200821,INLANDALCARE JANITOR SUPPLIES DIVISION OF SUMNER,,Business Name,Yukon,Ceased/Dissolved
200822,WALTER WOODS DIVISION OF SUMNER HOLDINGS LIMITED,,Business Name,Yukon,Ceased/Dissolved
200827,ESSO RESOURCES,,Business Name,Yukon,Expired
200828,ESSO RESSOURCES,,Business Name,Yukon,Expired
200830,PROSPECTORS CHOICE,,Business Name,Yukon,Ceased/Dissolved
200831,KAL TIRE WATSON LAKE,,Business Name,Yukon,Ceased/Dissolved
200833,LAKE LABERGE HOLDINGS,,Business Name,Yukon,Expired
200834,YUKON ROCK SHOP,,Business Name,Yukon,Ceased/Dissolved
200838,BLINDHEIM TRUCKING,,Business Name,Yukon,Expired
200839,LOMBARDI CONTRACTING,,Business Name,Yukon,Expired
200840,BERTON'S GARAGE,,Business Name,Yukon,Expired
200841,CAROUSEL CONSTUMES,,Business Name,Yukon,Expired
200843,CARIBOU CORNER STORE,,Business Name,Yukon,Expired
200844,COWLEY CREEK PLUMBING,,Business Name,Yukon,Expired
200845,P J'S WELDER SUPPLY,,Business Name,Yukon,Expired
200851,CHEZ VOUS GOURMET CATERING,,Business Name,Yukon,Ceased/Dissolved
200856,SHELL CANADA CHEMICAL COMPANY,,Business Name,Yukon,Ceased/Dissolved
200863,EDNA'S RESTAURANT,,Business Name,Yukon,Expired
200866,CHALLENGER ENVIRONMENTAL CONSULTANTS,,Business Name,Yukon,Expired
200867,CONSOGRABER,,Business Name,Yukon,Ceased/Dissolved
200868,KITCHENS OF SARA LEE CANADA,,Business Name,Yukon,Ceased/Dissolved
